index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
5535,EEA_3161-05-5,2009,2009-01--2009-12,FRDR11534,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5539,EEA_3161-01-1,2009,2009-01--2009-12,FRHR21,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5543,EEA_3161-02-2,2009,2009-01--2009-12,FRDR625,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5576,EEA_31615-01-7,2008,2008-01--2008-12,FRGR0575B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5593,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0539A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5597,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0927,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5598,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0927,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5611,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0550,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5616,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0541,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5637,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0927,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5639,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0539A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5641,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0927,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5642,EEA_31615-01-7,2008,2008-01--2008-12,FRGR0927,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5665,EEA_3161-01-1,2008,2008-01--2008-12,FRFR300B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
