index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
4707,EEA_31615-01-7,2009,2008-12--2009-02,FI81_064_001,Finland,18.1485472672831,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
4708,EEA_3161-02-2,2009,2008-12--2009-02,FI81_064_001,Finland,18.1485472672831,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
4715,EEA_3161-05-5,2009,2009-01--2009-12,ES12121,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4731,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0430021,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4732,EEA_3161-02-2,2009,2009-01--2009-12,ES030MSPF0430021,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4760,EEA_31615-01-7,2009,2009-01--2009-12,FRHR11A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4768,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0563,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4776,EEA_3161-02-2,2008,2008-01--2008-12,FRFR349B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4777,EEA_31615-01-7,2008,2008-01--2008-12,FRFR100,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4783,EEA_31615-01-7,2008,2008-06--2008-08,FI14_923_Y01,Finland,18.1485472672831,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
4784,EEA_3161-02-2,2008,2008-06--2008-08,FI04-271-1-001_001,Finland,18.1485472672831,2147000.0,0.0,0.0,35.88,9.24,1.7,13.13,37.83,1.45,0.0,0.0,28.12
4789,EEA_3161-01-1,2009,2009-01--2009-12,FRCR214,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4793,EEA_3161-03-3,2009,2009-01--2009-12,FRGR0186,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4799,EEA_3161-05-5,2009,2009-01--2009-12,FRCR225,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4805,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0224,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4806,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0224,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4819,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0224,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4839,EEA_31615-01-7,2008,2008-01--2008-12,RSNIS_3,Serbia,79.8376857992225,530038.0,0.0,21.867101881239144,37.62,5.44,1.38,16.72,13.57,12.73,0.4,12.14,0.76
4842,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0121,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4852,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0121,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4860,EEA_3161-03-3,2008,2008-01--2008-12,RSNIS_3,Serbia,79.8376857992225,530038.0,0.0,21.867101881239144,37.62,5.44,1.38,16.72,13.57,12.73,0.4,12.14,0.76
4888,EEA_3161-03-3,2008,2008-03--2008-05,FRDR275,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4890,EEA_31615-01-7,2008,2008-01--2008-12,FRAR04,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4900,EEA_3161-02-2,2008,2008-01--2008-12,FRDR187,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
